landmark_0_x,landmark_0_y,landmark_0_z,landmark_1_x,landmark_1_y,landmark_1_z,landmark_2_x,landmark_2_y,landmark_2_z,landmark_3_x,landmark_3_y,landmark_3_z,landmark_4_x,landmark_4_y,landmark_4_z,landmark_5_x,landmark_5_y,landmark_5_z,landmark_6_x,landmark_6_y,landmark_6_z,landmark_7_x,landmark_7_y,landmark_7_z,landmark_8_x,landmark_8_y,landmark_8_z,landmark_9_x,landmark_9_y,landmark_9_z,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_15_x,landmark_15_y,landmark_15_z,landmark_16_x,landmark_16_y,landmark_16_z,landmark_17_x,landmark_17_y,landmark_17_z,landmark_18_x,landmark_18_y,landmark_18_z,landmark_19_x,landmark_19_y,landmark_19_z,landmark_20_x,landmark_20_y,landmark_20_z,gesture_label
0.009005414,0.0112867765,-0.023412421,-0.012054615,-0.16075464,-0.003794911,-0.08008873,-0.3150803,0.010552776,-0.08885867,-0.45599708,0.013526894,-0.08948673,-0.6077512,0.0044250092,0.03819917,-0.28062588,-0.0005991109,0.051297057,-0.47244644,0.014670496,0.054994486,-0.62088466,-0.0042256024,0.06609378,-0.74119043,0.004952791,0.16259189,-0.241448,-0.00487698,0.16566592,-0.43896368,0.007391753,0.18893203,-0.5928545,-0.010081878,0.16834782,-0.713511,0.00891905,0.27046567,-0.19701813,0.0027859358,0.30113924,-0.3371629,0.010457145,0.31633672,-0.47205234,0.00081094884,0.30916098,-0.60269296,-0.01748587,0.35438967,-0.05188333,-0.0076665343,0.40129635,-0.16799738,-0.010389973,0.42989385,-0.335724,-0.0040186206,0.41202745,-0.42774472,0.008534719,open_palm
-0.0055482215,0.0102957105,-0.002295652,0.008424253,-0.15276815,-0.011033427,-0.023956731,-0.27072978,0.008285824,-0.031455196,-0.40359154,0.007507085,-0.009472165,-0.5206256,-0.0079431115,0.07547349,-0.24875586,-0.014350076,0.11098846,-0.39825445,0.00014992943,0.13306408,-0.51715404,0.007984621,0.14509928,-0.6389269,-0.0009566185,0.14919692,-0.22716287,-0.015872395,0.19048838,-0.34258676,-0.010865749,0.22164987,-0.47096202,-0.004275168,0.254024,-0.6090911,-0.0024652507,0.23974864,-0.13309886,0.010083698,0.28040513,-0.24896166,0.0028528273,0.32384923,-0.39055815,0.0008655541,0.3343332,-0.48333046,0.00026222575,0.33330333,0.002949642,-0.01228197,0.37391308,-0.10582234,0.01631025,0.41004702,-0.21393265,0.017559635,0.39388645,-0.32953134,-0.011118911,open_palm
0.0076218112,-0.0026666725,-0.017649675,-0.0037211187,-0.14965218,0.010057519,-0.04205733,-0.2559222,0.0049729133,-0.09044636,-0.4607886,0.0032125376,-0.08099014,-0.5731474,-0.0073451614,0.054459497,-0.2610965,0.0018845828,0.06327559,-0.4499581,-0.020096196,0.067244954,-0.58136237,0.02121516,0.08141661,-0.6916556,-0.0059915474,0.14307712,-0.25937054,-0.008702713,0.20153153,-0.41049573,0.01006187,0.1736206,-0.5428746,0.0046194117,0.18934873,-0.67727405,-0.007857452,0.26097482,-0.17601168,-0.014707269,0.278871,-0.30997437,0.018949095,0.31369084,-0.4458638,0.0034299137,0.323988,-0.5651034,-0.0049311267,0.35360897,-0.02736821,0.018429073,0.39077985,-0.17790847,-0.016417911,0.42539248,-0.26469794,-0.0021542306,0.39696375,-0.38091284,-0.013284548,open_palm
-0.0047352617,-6.14624e-05,-0.0019613148,-0.010053098,-0.12386994,0.0010870189,-0.093672045,-0.27983144,-0.0005846208,-0.14344975,-0.39935032,-0.010537828,-0.14956394,-0.4957255,-0.015916713,0.012516318,-0.26293862,-0.003932077,0.009137575,-0.4008149,0.016048778,-0.017913314,-0.54699934,-0.002686306,-0.024432478,-0.6491369,-0.013012657,0.108954966,-0.24502453,0.030209688,0.12567121,-0.3997022,-0.0034486004,0.07148378,-0.5373115,0.00378726,0.09223214,-0.6515798,-0.007849758,0.1825233,-0.19343005,-0.0127489725,0.21692571,-0.33619693,-0.0011311506,0.19934677,-0.46621117,0.025550965,0.18432327,-0.5734356,0.022042962,0.33983088,-0.092007495,-0.0044189873,0.3343812,-0.18295714,-0.011842285,0.32544,-0.30792153,0.0052171927,0.30414253,-0.42113897,-0.01649875,open_palm
0.0027860387,-0.0066639264,0.005658462,0.032624587,-0.12494465,0.004221077,-0.028779633,-0.24762902,-0.008658696,-0.023420341,-0.36988288,0.02511802,0.009404386,-0.47398713,-0.009156686,0.05731661,-0.20850474,0.0031529907,0.09826407,-0.37899727,0.011129262,0.11706259,-0.48974323,-0.005658298,0.13115175,-0.5772363,-0.0035060542,0.15123396,-0.1952662,0.0018307501,0.19905971,-0.34848738,-0.0028422032,0.20399195,-0.44094536,-0.004462975,0.19717073,-0.5420092,0.020728203,0.20905575,-0.10905063,-0.003942303,0.27119535,-0.24631277,-0.004013474,0.31372815,-0.33522314,0.02078774,0.32018018,-0.43975863,0.020927215,0.2910735,0.012704322,-0.0035588515,0.33816245,-0.11004325,0.011875007,0.34805587,-0.192369,-0.0022878128,0.38280928,-0.28710544,0.021847755,open_palm
-0.0008034381,-0.014064087,-0.006219358,-0.0023871232,-0.12203814,-0.008387165,-0.119639315,-0.23074691,-0.014598722,-0.15197393,-0.3457026,0.013863744,-0.15440074,-0.4893389,0.0036524008,-0.00149134,-0.2339452,0.019394517,-0.049004592,-0.38433957,0.007090876,-0.062378604,-0.4805776,0.0044202795,-0.049657956,-0.6088911,0.009765164,0.099661194,-0.23250678,0.0028128107,0.078207694,-0.37671813,-0.0017703442,0.05261144,-0.4914458,0.011997891,0.025321787,-0.6012975,0.017777467,0.17395239,-0.19832824,0.0024276744,0.19979203,-0.31347114,0.015947526,0.19080122,-0.4172713,0.0066493982,0.18338814,-0.5322178,-0.024042267,0.29772523,-0.093870014,0.0012945654,0.3109868,-0.22547397,-0.015019767,0.26828524,-0.32089546,0.0052756392,0.2700956,-0.40178734,-0.01695319,open_palm
-0.0056613125,0.005512629,0.008423444,-0.021798193,-0.16164139,0.0027505364,-0.12849939,-0.3147032,-0.002155337,-0.17716053,-0.45265195,-0.004724894,-0.19359732,-0.6136829,-0.001410506,0.01326826,-0.3375453,-0.015557668,-0.03949309,-0.52377915,-0.0081391735,-0.03460694,-0.65857315,0.002373481,-0.049295213,-0.7758327,-0.0008296552,0.13652666,-0.30539274,-0.010048779,0.10107794,-0.49659148,-0.010657607,0.08045745,-0.63994503,0.020649238,0.049401797,-0.7814845,-0.012486528,0.25076863,-0.24401996,-0.02197087,0.26847112,-0.41377714,-0.0064068027,0.23554927,-0.56392694,0.0051346854,0.2159655,-0.68717813,0.004343062,0.38370746,-0.11264003,-0.017722294,0.4058735,-0.26675427,0.013375109,0.3902859,-0.40252423,0.0041853106,0.38051146,-0.4996892,0.0008325736,open_palm
-0.010147932,0.0039968444,-0.00031035417,0.013602621,-0.14966792,-0.01907481,-0.08100512,-0.279367,-0.0055041034,-0.06908994,-0.37437937,0.01327192,-0.068592444,-0.51449883,-0.0048849387,0.0515366,-0.24655473,0.0074300533,0.061369304,-0.38499108,-0.013703259,0.07469648,-0.49694157,0.0026769568,0.09968756,-0.6387494,0.0069693252,0.14606781,-0.22564405,-0.009353789,0.17105971,-0.37282938,0.007987022,0.18875526,-0.49788007,-0.0034349847,0.18904798,-0.61771655,0.011226566,0.213294,-0.15589114,-0.023889745,0.25444365,-0.2638867,0.01074222,0.28158608,-0.41867253,-0.035574347,0.2822553,-0.4839872,0.005218611,0.3038322,-0.019336281,-0.018731501,0.35274816,-0.14214583,-0.0010332079,0.38298544,-0.2502821,0.008019912,0.363137,-0.3467226,0.019547243,open_palm
0.016029412,-0.0022961278,0.016845856,-0.023881432,-0.13392323,0.0015778298,-0.11230514,-0.2539019,-0.0043412456,-0.16421479,-0.41687667,0.0054280073,-0.18780531,-0.53504354,-0.0064652557,0.020714954,-0.3061742,-0.009438789,-0.03310549,-0.44883385,0.0029719907,-0.032351527,-0.5832512,-0.0019102185,-0.04261695,-0.7134201,0.008482195,0.11829185,-0.2650188,0.0066784015,0.105418116,-0.3978402,-0.0010451301,0.0796051,-0.5826872,-0.012387152,0.053499635,-0.70541745,-0.0008481646,0.22394039,-0.21076043,-0.009186423,0.24367487,-0.3475069,-0.0019157797,0.21903504,-0.4822361,0.002255683,0.18454346,-0.60950196,0.0031444298,0.31605765,-0.08903935,-0.017457869,0.36716235,-0.21249361,-0.003030208,0.35072502,-0.37873316,-0.013876172,0.31912723,-0.4724564,0.008572758,open_palm
-0.010049561,0.0028253805,0.019333394,-0.011207978,-0.15743285,0.021855587,-0.0989195,-0.31667152,-0.005083279,-0.10350515,-0.4417354,0.0028999166,-0.11555852,-0.5843335,-0.0069304667,0.064301305,-0.29536656,-0.0076393834,0.05919273,-0.44979644,0.0053771925,0.035701796,-0.60222167,-0.012411697,0.06152069,-0.7540999,0.0053558657,0.14581487,-0.2795306,0.008565841,0.17254905,-0.4316973,0.017414147,0.167822,-0.5843656,0.0032269615,0.16844226,-0.7074343,-0.006401428,0.25588703,-0.17061701,-0.012487032,0.2671874,-0.3166719,0.030591935,0.30497137,-0.4980463,-0.0037258076,0.2984736,-0.6056511,-0.013360657,0.36103508,-0.039566543,-0.017932868,0.4082488,-0.15933739,0.002063524,0.4092737,-0.31377998,0.007383081,0.38439652,-0.42797622,-0.004685567,open_palm
